ProjectAccession,Instrument,Quantification Method,Software,PTM
PXD007289,MS:1001742,,,UNIMOD:4|UNIMOD:35|UNIMOD:1
PXD007238,MS:1000449,,,UNIMOD:7|UNIMOD:4|UNIMOD:35
PXD007217,MS:1000932,,,PRIDE:0000398
PXD007224,MS:1001911,PRIDE:0000322,,MOD:00400
PXD007552,MS:1001911,PRIDE:0000436,,MOD:00425|MOD:00394
PXD007252,MS:1001742,PRIDE:0000436,,MOD:00397
PXD007263,MS:1001911,PRIDE:0000312,,MOD:00425|MOD:00408
PXD007261,MS:1001910,,,PRIDE:0000398
PXD009181,MS:1001911,PRIDE:0000312,,MOD:00425|MOD:00397|MOD:00408
PXD004510,MS:1001742,,,UNIMOD:934|UNIMOD:737|UNIMOD:4|UNIMOD:35
PXD007510,MS:1001911,,,MOD:00425|MOD:00394|MOD:00397
PXD007516,MS:1001910,PRIDE:0000312|PRIDE:0000425,,MOD:00425|MOD:00696|MOD:00397
PXD007517,MS:1000556,PRIDE:0000435,,MOD:00425|MOD:00397
PXD007148,MS:1000449,,,UNIMOD:7|UNIMOD:4|UNIMOD:35
PXD007229,MS:1000449,,,MOD:01720
PXD007215,MS:1001911,PRIDE:0000315,,MOD:00544
PXD007221,MS:1000932,PRIDE:0000425,,UNIMOD:24|UNIMOD:21|UNIMOD:7|UNIMOD:4|UNIMOD:35|UNIMOD:1
PXD007271,MS:1001911,,,PRIDE:0000398
PXD001168,MS:1000449,,,MOD:00425|MOD:00696|MOD:00397
PXD008448,MS:1001911,,,PRIDE:0000398
PXD007233,MS:1000932|MS:1002416,PRIDE:0000447|PRIDE:0000314,,MOD:01720|MOD:00425|MOD:00397
PXD007150,MS:1001911,,,MOD:00425|MOD:00394|MOD:00397
PXD000948,MS:1000126,,,MOD:00425|MOD:00696|MOD:00397
PXD007186,MS:1001541,,,MOD:00397
PXD007175,MS:1001911,PRIDE:0000314,,MOD:01720|MOD:00425|MOD:00394|MOD:01819
PXD007529,MS:1000447|MS:1001911,PRIDE:0000315,,MOD:00425|MOD:00397
PXD007176,MS:1001911,,,MOD:00425|MOD:00397
PXD007149,MS:1001911,,,UNIMOD:4|UNIMOD:35
PXD007151,MS:1000610,,,MOD:00425|MOD:00397
PXD001796,MS:1001560,,,MOD:00425|MOD:00428|MOD:00546|MOD:00397
PXD007169,MS:1001911,PRIDE:0000425,,MOD:00425|MOD:00394|MOD:00417|MOD:00397
PXD007171,MS:1001742,PRIDE:0000312,,MOD:00425|MOD:00397
PXD007178,MS:1002732|MS:1001910,,,MOD:00425|MOD:00397
